# Expected differences between a290-ha-addon and r5-ha-addon, after scripts/parity/map.tsv.
# Read by scripts/parity_check.py; the decision behind it is ADR 0001 (docs/adr/ in a290).
#
# Columns, tab-separated: category, path, side, match, count, reason.
#   category  model    a genuine per-car difference (endpoint behaviour, renders, branding)
#             legacy   r5 keeps Topolino65's names where a290 does not. Decided 2026-09-26
#                      (ADR 0001): r5 moves to a290's descriptive names in one migration
#                      release, so these entries, and map.tsv's legacy rules, go with it
#             local    belongs to one repository by nature
#             noise    versions, release history, binaries: expected to differ for good
#             pending  drift or a port not yet made. The reason names a Target:, and the
#                      entry is deleted when that lands. This list is the port backlog.
#   path      glob on the a290-named path (`*` also crosses `/`)
#   side      a290 | r5 | both: whose lines the entry covers
#   match     *            every differing line of the file (and a changed binary)
#             only         the file exists on that side only
#             re:<regex>   differing lines matching the regex
#             hunk:<regex> every line of each changed block that has a line matching it
#             py:<a,b>     differing lines owned by these top-level Python symbols
#             mode         the file's mode differs (e.g. 100755 vs 100644), side both. Only this
#                          excuses a mode difference; `*` covers content, never modes
#   count     exactly how many differing items the entry covers. `*` = any number, allowed
#             only with match `*`, and printed as unguarded on every run.
#
# Each differing item goes to the FIRST entry that takes it, so the more specific entry comes
# first. The check fails on an item no entry takes, an entry that takes nothing (the
# difference is gone: delete it) and a count that is off by any amount (a new line joined an
# old excuse, or an item was partly fixed: look, then edit). Never raise a count without
# reading what the check printed under it.
#
# Audit ids (P-B1, H-D5, ...) refer to the 2026-09-26 parity baseline summarised in the RFC
# cited by ADR 0001. "RFC open difference" means the RFC's table of behaviours to decide.

# ---------------------------------------------------------------- releases, binaries
noise	alpine_a290/CHANGELOG.md	both	*	*	each add-on has its own release history and version numbers
noise	alpine_a290/config.yaml	both	re:^version:	2	each add-on is versioned independently
noise	docs/screenshots/*.png	both	*	5	rendered from each repo's own dashboards and seed
model	alpine_a290/icon.png	both	*	1	each add-on's store icon shows its own car
model	alpine_a290/logo.png	both	*	1	each add-on's store logo shows its own car
model	alpine_a290/dashboards/Images/Background/*.webp	both	*	2	each dashboard's background and side images are its own car
model	alpine_a290/dashboards/Images/Models/*	r5	only	22	r5's car_render option picks one of 22 trim and colour renders; the A290 has one render
model	alpine_a290/dashboards/Images/Map Markers/*	r5	only	6	r5's map markers per paint colour; a290's dashboards use the default marker

# ---------------------------------------------------------------- one repository only
local	BACKLOG.md	a290	only	1	a290's own backlog; r5 tracks work in its issues
local	.orchestrate/*	a290	only	2	a290's review-orchestration helpers; whether r5 wants them is the owner's call (audit H-C7)
local	docs/adr/*	a290	only	2	a290's architecture decision records (0001 parity, 0002 Supervisor pilot)
pending	scripts/parity_check.py	a290	only	1	this check starts in a290. Target: r5 copies it byte-for-byte with its own map and list (ADR 0001 row 2)
pending	.github/scripts/ha_cadence_watch.py	a290	only	1	a290 watches the HA release cadence (audit H-C7). Target: port to r5 with the workflow below
pending	.github/workflows/ha-cadence-watch.yaml	a290	only	1	as ha_cadence_watch.py. Target: port to r5
pending	alpine_a290/.dockerignore	a290	only	1	a290 keeps tests and docs out of the image build context (audit H-C8). Target: port to r5
pending	alpine_a290/tests/test_charge.py	a290	only	1	a290's charge-session tests; whether r5's _parse_charge_session tests cover the same is not established. Target: compare, then port what is missing to r5
pending	alpine_a290/tests/test_config.py	a290	only	1	ENV_PREFIX wiring and end-to-end redaction tests (audit P-C6). Target: port to r5
pending	alpine_a290/dashboards/Packages/a290_test.yaml	a290	only	1	a290's namespaced test-mode package; r5 uses bare sensor.test_* (audit H-C4). Target: port to r5
pending	alpine_a290/dashboards/Templates/a290_pretty_location.yaml	a290	only	1	a290 bundles the pretty-location template; r5 tells users to port it from upstream. Target: owner decision on bundling it in r5
pending	alpine_a290/dashboards/config-entries.yaml	a290	only	1	a290-only dashboard setup file. Target: owner decision with the dashboard docs below
pending	alpine_a290/dashboards/INSTALLATION.md	a290	only	1	a290's dashboard install guide; r5 has CUSTOMISING.md instead. Target: reconcile the dashboard docs with r5's naming migration release (ADR 0001)
pending	alpine_a290/dashboards/USER-GUIDE.md	a290	only	1	as INSTALLATION.md. Target: same
pending	alpine_a290/dashboards/CUSTOMISING.md	r5	only	1	r5's dashboard customisation guide. Target: same as INSTALLATION.md

# ---------------------------------------------------------------- add-on config
pending	alpine_a290/config.yaml	a290	re:precondition_temperature	2	Start Climate temperature. Decided 2026-09-26 (RFC): the shared code keeps precondition_temperature but defaults to the car's own setting. Target: that option in both
pending	alpine_a290/config.yaml	both	re:^  deploy_dashboard:	2	r5 defaults to deploying no dashboard, on the premise that its users run Topolino65's; every visible r5 user runs r5's bundled one (ADR 0001 naming decision). Target: revisit r5's default with its naming migration release
model	alpine_a290/config.yaml	r5	re:car_render	2	r5's render picker (see Images/Models)
pending	alpine_a290/run.sh	a290	re:PRECONDITION_TEMPERATURE	1	as config.yaml precondition_temperature. Target: same
model	alpine_a290/run.sh	r5	re:CAR_RENDER	1	r5's render picker
pending	alpine_a290/Dockerfile	both	hunk:BUILD_VERSION|A290_VERSION	4	comment wording on the version ARG. Target: converge the wording, either way
pending	alpine_a290/Dockerfile	both	hunk:COPY dashboards|Bundle	4	comment wording on the dashboard COPY. Target: converge the wording, either way
legacy	alpine_a290/app/panel.html	both	re:num\(d\.	12	the panel reads poll_once's data keys, which r5 keeps under legacy names. Goes with ADR 0001 stage B2 (catalog-driven poll_once)

# ---------------------------------------------------------------- catalog.py
legacy	alpine_a290/app/catalog.py	both	py:<docstring>	6	r5's docstring records its Topolino65 naming
model	alpine_a290/app/catalog.py	both	py:OBJ_PREFIX,ENV_PREFIX,NODE	12	each comment names the OTHER twin ("the r5 twin sets r5_"), which normalisation cannot make equal; plus obj[len(OBJ_PREFIX):] vs removeprefix wording (main.py _P)
model	alpine_a290/app/catalog.py	both	py:DEVICE	2	device name and manufacturer (Alpine / Renault)
pending	alpine_a290/app/catalog.py	both	py:MQTT_KEEPALIVE	2	60 s on a290, 30 s on r5; RFC open difference, unclear which is right. Target: owner decision, then one value in both
pending	alpine_a290/app/catalog.py	both	py:SENSORS	8	r5 publishes Cabin Temperature, a290 retired it (the A290 never returns it; whether an R5 does is not established; RFC open difference), plus comment wording. Target: owner decision on cabin temperature
pending	alpine_a290/app/catalog.py	both	py:RETIRED_SENSORS	7	a290 retires cabin_temperature; comment wording. Target: follows the cabin-temperature decision
pending	alpine_a290/app/catalog.py	both	py:OPTIONAL_ENDPOINTS,PESSIMISTIC_ENDPOINTS	13	a290 makes hvac-settings optional and pessimistic because the A290 answers 502000; r5 polls it always (R5 behaviour unobserved; RFC open difference). Target: owner decision on hvac-settings
pending	alpine_a290/app/catalog.py	both	py:BINARY_SENSORS,ICONS	9	comment wording, and a290 gives last_successful_poll an icon (audit P-C8). Target: port the icon to r5, converge the wording
legacy	alpine_a290/app/catalog.py	both	py:ACTION_BUTTONS,BUTTON_CMD_OVERRIDES	13	r5 keeps the legacy command names lights/horn/hvac_start/hvac_stop through BUTTON_CMD_OVERRIDES; table order and comments follow. Goes with stage B2
legacy	alpine_a290/app/catalog.py	both	py:SOC_ENDPOINT,NUMBER_ROLES	8	r5 maps its legacy number names to set_battery_soc roles through NUMBER_ROLES. Goes with stage B2
pending	alpine_a290/app/catalog.py	both	py:DATA_GATED_SENSORS	10	comment wording (a290 cites its own history). Target: converge the wording, either way

# ---------------------------------------------------------------- main.py
model	alpine_a290/app/main.py	both	py:<docstring>	27	each docstring states its own car's platform caveats, and r5's describes itself as Topolino65's data layer. B2 shrinks main.py to configuration
pending	alpine_a290/app/main.py	both	py:<imports>	2	NUMBER_ROLES is r5's legacy role table; PESSIMISTIC_ENDPOINTS is a290's hvac-settings guard (both now import time: a290 for #157's monotonic clock). Target: follows those two entries
pending	alpine_a290/app/main.py	both	py:_P,LOCATION_CMDS,NUMBER_CMDS	16	a290 strips the object-id prefix with obj[_P:]; r5 uses str.removeprefix(OBJ_PREFIX), the better form (audit P-D5). Target: port removeprefix to a290
pending	alpine_a290/app/main.py	both	py:VERSION,CHARGE_STATUS_LABELS,RHD_LOCALES,MILES_LOCALES,PLUG_KM_DELTA,PLUG_SOC_DROP,PLUG_MIN_AGE,PLUG_MAX_AGE,setup_logging,API_TIMEOUT,start_health_server,save_state	26	comment and docstring wording only, plus an f-string vs concatenation in save_state; no behaviour differs. Target: converge when B1 moves this code into the core, or either way when touched
pending	alpine_a290/app/main.py	both	py:freshness_fields	12	docstring wording (a290 cites its v1.24.0 history, r5 adds the parked-car note). Target: B1 moves freshness_fields into the core
pending	alpine_a290/app/main.py	both	py:VehicleSession	16	docstring and comment wording only. Target: B1 moves VehicleSession into the core
pending	alpine_a290/app/main.py	both	py:resolve_account	10	comment wording on which account type each car sits under. Target: B1 moves resolve_account into the core
pending	alpine_a290/app/main.py	both	py:detect_supported	26	a290's PESSIMISTIC_ENDPOINTS machinery: hvac-settings defaults to unsupported when detection fails and a successful probe adds it back (audit P-C3). Target: owner decision on hvac-settings, then one implementation
pending	alpine_a290/app/main.py	both	py:_hvac_due	19	a290 skips hvac-settings when the car does not list it; r5 deliberately does not gate on that (its docstring says why). Target: owner decision on hvac-settings, then B1 (the breaker moves into the core)
pending	alpine_a290/app/main.py	both	py:_precondition_temp,_hvac_start_action,COMMAND_ACTIONS	24	Start Climate: a290 sends the precondition_temperature option, r5 the car's own setting (fallback 21 C); r5 also keeps legacy command keys. Decided 2026-09-26 (RFC): keep the option, default to the car's setting. Target: implement that in both; command keys go with B2
pending	alpine_a290/app/main.py	both	py:run_command	2	refresh-location log wording in run_command: a290 'replaces', r5 'can replace'. The debounce itself is identical since r5 #104. Target: converge, either way
legacy	alpine_a290/app/main.py	both	py:_NUMBER_ROLE,set_soc_level	4	r5 resolves its legacy number names to roles through NUMBER_ROLES; a290 compares the name. Goes with stage B2
pending	alpine_a290/app/main.py	both	py:detect_plug_suspect	11	plug-suspect input: a290 passes the raw integer, r5 the decoded PlugState; r5's is better and adopting it resets the stored baseline once (RFC open difference). Target: owner decision, then port to a290
pending	alpine_a290/app/main.py	both	py:poll_once	69	r5 publishes legacy data keys (battery_autonomy, charger_status, ...), cabin temperature and an ungated hvac-settings call; a290 passes the raw plug code; comment wording. Target: B2 makes the keys data; cabin temperature and hvac-settings follow their RFC decisions
pending	alpine_a290/app/main.py	both	py:main	39	main loop: r5 installs signal handlers before startup (P-B2) and logs poll duration (P-B8), and passes the refresh-location verdict to deploy; re-login after a failure differs (a290: auth error or every 3rd failure, r5: every failure; RFC open difference); a290 saves state on the failure path (P-C2). Target: re-login decision, then B1 (main loop into the core)
pending	alpine_a290/app/main.py	both	py:<main-guard>	2	a290 marks the __main__ guard `# pragma: no cover`; r5 does not. Target: port to r5

# ---------------------------------------------------------------- deploy.py
pending	alpine_a290/app/deploy.py	both	py:<docstring>	11	docstring wording. Target: converge the wording, or B (deploy engine into the core)
pending	alpine_a290/app/deploy.py	both	py:_REF,REF,CDN	4	the tag constant is _REF on a290 and REF on r5. Target: one name in both
pending	alpine_a290/app/deploy.py	both	py:RESERVED_URL_PATHS,_validate_url_path	34	identical code at a different place in the file (a290 near the top, r5 beside run_deploy). Target: one position in both
model	alpine_a290/app/deploy.py	both	py:IMG_MAP,_RENDER_TRIMS,_selected_render,_cdnify	18	r5's car_render option swaps the background for the chosen trim render
